category,question,option1,option2
E/I,사회 모임 후 기분이 어떠신가요?,에너지를 받고 활기차게 느낍니다.,에너지가 소모되어 혼자만의 시간이 필요합니다.
E/I,새로운 사람들을 만날 때 어떻게 반응하나요?,쉽게 다가가 대화를 시작합니다.,상대방이 먼저 다가오기를 기다립니다.
E/I,주말을 보내는 이상적인 방법은 무엇인가요?,친구들과 약속을 잡거나 사회적 활동에 참여합니다.,집에서 책을 읽거나 영화를 보는 등 혼자만의 시간을 즐깁니다.
E/I,토론이나 회의에서 자신의 의견을 어떻게 표현하나요?,적극적으로 의견을 공유하고 토론에 참여합니다.,다른 사람의 의견을 듣고 내부적으로 생각을 정리한 후에 의견을 제시합니다.
E/I,여러 사람이 모인 자리에서 당신은 주로 어떤 역할을 하나요?,대화를 이끌고 분위기를 주도합니다.,관찰자의 위치에서 상황을 지켜보며 참여합니다.
S/N,새로운 프로젝트를 시작할 때 어떤 접근 방식을 선호하나요?,검증된 방법과 실제 경험을 바탕으로 계획을 세웁니다.,가능성을 탐구하고 창의적인 해결책을 모색합니다.
S/N,문제를 해결할 때 어떤 정보를 중요시하나요?,구체적인 사실과 데이터에 더 많이 의존합니다.,전체적인 맥락과 가능한 의미에 더 많이 의존합니다.
S/N,책을 읽거나 영화를 볼 때 어떤 유형을 선호하나요?,현실적이고 구체적인 세부 사항이 잘 묘사된 이야기를 선호합니다.,상상력을 자극하고 개념적인 주제를 탐구하는 이야기를 선호합니다.
S/N,회의나 강의에서 정보를 어떻게 기억하나요?,"구체적인 사실, 숫자, 그리고 예시를 잘 기억합니다.","주요 개념, 패턴, 그리고 의미를 잘 기억합니다."
S/N,여행을 갈 때 어떤 유형의 경험을 더 선호하나요?,감각적인 경험과 실제로 체험할 수 있는 활동을 선호합니다.,새로운 아이디어와 문화를 탐험하는 것을 선호합니다.
T/F,중대한 결정을 내릴 때 주로 무엇에 의존하나요?,명확한 기준과 논리적 분석을 사용합니다.,개인적 가치와 타인의 감정을 고려합니다.
T/F,갈등 상황에서 당신의 접근 방식은 어떤가요?,객관적 사실을 바탕으로 문제를 해결하려 합니다.,사람들의 감정을 우선시하고 화합을 추구합니다.
T/F,친구가 조언을 구할 때 어떻게 반응하나요?,해결책과 실질적인 조언을 제공합니다.,공감하고 감정적 지지를 제공합니다.
T/F,프로젝트나 과제를 평가받을 때 무엇을 더 선호하나요?,구체적이고 객관적인 피드백을 선호합니다.,격려와 긍정적인 강화를 선호합니다.
T/F,문제 해결 시 당신의 접근 방식은 무엇인가요?,문제를 분석하고 체계적으로 접근합니다.,직관과 개인적 경험을 바탕으로 접근합니다.
J/P,계획을 세울 때 어떻게 하나요?,미리 계획을 세우고 그 계획을 따르는 것을 선호합니다.,유연하게 대처하고 계획을 변경하는 것에 개방적입니다.
J/P,마감기한을 관리하는 방식은?,마감기한 전에 일을 끝내려고 노력합니다.,마감기한에 임박해서 작업하는 경향이 있습니다.
J/P,일상 생활에서 얼마나 조직적인가요?,일과를 정리하고 체계적으로 유지하는 것을 중요하게 생각합니다.,일과가 유동적이며 조직보다는 융통성을 중요시합니다.
J/P,변경 사항이나 예기치 않은 일이 발생했을 때 반응은?,계획이 변경되면 스트레스를 받습니다.,새로운 상황에 쉽게 적응하고 유연하게 대처합니다.
